customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
2098,17567128539,Mark,Hutton,8125 Westbury Drive,Santa Cruz,CA,14148,USA,07/03/1973,M,$50K - $70K,M,0,0,Bachelors Degree,08/06/1990,Bronze,Professional,Y
2099,17573394200,Shawn,Mccall,1584 Lorie Lane,Merida,Yucatan,78908,Mexico,9/19/1935,M,$30K - $50K,M,0,0,High School Degree,03/09/1991,Bronze,Skilled Manual,Y
2100,17584487795,Dianne,Viger,5989 Concord Ave,N. Vancouver,BC,32781,Canada,7/13/1953,M,$30K - $50K,F,4,2,Partial High School,5/22/1991,Bronze,Manual,N
2101,17589079700,Florencia,Scott,2357 Madrid,Beverly Hills,CA,37411,USA,11/11/1957,S,$30K - $50K,M,0,0,Partial College,9/13/1991,Bronze,Professional,N
2102,17589229900,Jan,Ireland,4361 Loftus Road,San Gabriel,CA,54540,USA,11/05/1961,S,$110K - $130K,M,3,0,Partial College,03/10/1993,Normal,Management,Y
2103,17590426200,Annemarie,Strong,3639 Blackridge Drive,Richmond,CA,25332,USA,08/01/1968,M,$50K - $70K,M,5,1,Bachelors Degree,07/09/1994,Bronze,Management,N
2104,17590721200,Keith,Fisher,8552 Stillwater Court,Colma,CA,10528,USA,12/25/1927,S,$70K - $90K,F,5,0,Bachelors Degree,08/11/1992,Bronze,Professional,Y
2105,17611937500,Veronica,Cloutier,6675 Logan Ct,El Cajon,CA,72773,USA,6/22/1975,S,$70K - $90K,M,5,0,Bachelors Degree,10/15/1993,Bronze,Management,N
2106,17637509703,Jeanni,Espinoza,4499 Valley Crest,Bellflower,CA,96838,USA,10/11/1978,S,$70K - $90K,M,5,0,High School Degree,4/23/1994,Golden,Professional,N
2107,17641216500,Alice,Zachery,4285 Soto Street,Mexico City,Mexico,98953,Mexico,05/12/1964,S,$70K - $90K,F,2,0,Bachelors Degree,7/19/1991,Bronze,Professional,Y
2108,17661982200,Eric,Oberheide,2362 Thunderbird Drive,Guadalajara,Jalisco,16472,Mexico,03/10/1933,M,$30K - $50K,F,5,1,Partial High School,02/04/1992,Bronze,Skilled Manual,Y
2109,17664031386,Larry,Tuazon,2403 Riverwood Circle,Langford,BC,83748,Canada,11/07/1954,S,$50K - $70K,M,3,0,Bachelors Degree,6/26/1993,Bronze,Professional,N
2110,17676761150,Elizabeth,Bryson,3390 Klier Drive,Beaverton,OR,66429,USA,7/21/1968,S,$30K - $50K,F,3,0,High School Degree,09/12/1993,Bronze,Manual,Y
2111,17677517500,John,Plutt,3685 Pleasant Hill Rd,Long Beach,CA,73574,USA,11/27/1933,S,$10K - $30K,M,2,0,Partial High School,2/18/1993,Normal,Manual,Y
2112,17684689800,Deborah,McGill,4926 Sharon Dr,Olympia,WA,22417,USA,11/17/1972,M,$30K - $50K,M,2,2,Partial College,10/02/1993,Bronze,Professional,Y
2113,17693653700,Juanita,Aiello,8130 Potomac Drive,Santa Anita,DF,94723,Mexico,12/09/1969,M,$30K - $50K,F,4,3,Partial College,8/26/1990,Golden,Skilled Manual,Y
2114,17697086900,Estela,Grando,9625 Ana Mile,Santa Anita,DF,97272,Mexico,09/04/1930,S,$30K - $50K,F,3,0,Partial College,06/06/1992,Bronze,Clerical,Y
2115,17698653340,Lois,Byrne,5740 Elderwood Dr,Santa Anita,DF,48196,Mexico,08/04/1932,M,$50K - $70K,M,1,1,Bachelors Degree,09/06/1991,Bronze,Professional,N
2116,17699629700,Nancy,Eggleston,7489 Relief Valley Ct,Novato,CA,20692,USA,3/23/1912,M,$10K - $30K,F,4,4,Partial High School,8/16/1993,Normal,Skilled Manual,Y
2117,17702167000,Sadie,Pope,3858 Vista Diablo,Issaquah,WA,32991,USA,4/18/1948,M,$30K - $50K,F,4,3,High School Degree,11/16/1991,Normal,Manual,Y
2118,17703830003,Sterling,Crowe,8517 El Capitan Lane,Merida,Yucatan,72148,Mexico,10/09/1915,S,$10K - $30K,F,4,0,Partial High School,4/16/1991,Normal,Skilled Manual,N
2119,17707247100,Kristin,Arnold,5139 The Trees Dr,Concord,CA,42940,USA,7/14/1965,M,$10K - $30K,M,3,2,Partial High School,07/10/1994,Normal,Skilled Manual,N
2120,17709339300,Louis,Stoal,53 Odin Dr,Spring Valley,CA,28136,USA,02/04/1961,M,$90K - $110K,M,3,1,Bachelors Degree,8/19/1991,Bronze,Professional,N
2121,17713072900,Elisa,Rivera,9585 Carob Way,San Andres,DF,64089,Mexico,07/09/1913,S,$10K - $30K,M,1,0,Partial High School,03/10/1992,Normal,Skilled Manual,N
2122,17715401053,Harold,Huffman,4753 Montanya Court,Mill Valley,CA,15446,USA,2/24/1954,M,$10K - $30K,F,5,0,Partial High School,8/26/1992,Normal,Skilled Manual,Y
2123,17718153000,Mark,Turner,4539 Leeds Ct,Haney,BC,17561,Canada,4/22/1972,M,$50K - $70K,M,0,0,Bachelors Degree,7/19/1991,Bronze,Professional,N
2124,17721639871,Charles,Walker,2617 Melody Drive,Newton,BC,34080,Canada,10/18/1974,S,$30K - $50K,M,3,0,High School Degree,09/01/1990,Bronze,Manual,Y
2125,17726950645,Todd,Belcher,5313 Haynes Court,Vancouver,BC,23572,Canada,6/23/1968,S,$150K +,M,4,0,Partial High School,10/21/1992,Silver,Professional,Y
2126,17732475996,Maria,Gray,3644 Rosarita,Bellingham,WA,57744,USA,09/08/1944,M,$30K - $50K,F,3,2,High School Degree,10/04/1990,Silver,Skilled Manual,Y
2127,17734734400,Robert,Buch,6594 Glen Wood Drive,Lynnwood,WA,91182,USA,10/11/1941,M,$10K - $30K,F,4,4,Partial High School,10/04/1990,Normal,Skilled Manual,Y
2128,17736311554,Katherine,Cecchini,5180 Lacorso,Los Angeles,CA,13732,USA,7/25/1942,S,$110K - $130K,M,3,0,High School Degree,09/10/1992,Bronze,Professional,N
